ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
357,Antoni,Dziuban,mężczyzna,06-10-1997,ul. Pałacowa 87 18-722 Kalisz,[]
358,Błażej,Sobiło,mężczyzna,10-02-1998,aleja Turystyczna 592 34-527 Piaseczno,"['Technologiczny Wizjoner', 'Doskonały Komunikator', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych']"
359,Natan,Furgała,mężczyzna,09-08-2003,aleja Ciasna 943 39-981 Jaworzno,"['Ekspercki Analizator Danych', 'Guru Matematyki']"
360,Marek,Żok,mężczyzna,27-02-1989,pl. Ściegiennego 57/43 55-789 Słupsk,"['Guru Matematyki', 'Wielki Odkrywca']"
361,Borys,Karpik,mężczyzna,21-02-1984,ulica Ceglana 775 67-770 Jasło,[]
362,Maurycy,Matula,mężczyzna,24-05-1992,al. Nowa 330 11-943 Płock,"['Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Innowacyjny Programista']"
363,Przemysław,Roskosz,mężczyzna,12-10-1984,plac Azaliowa 35/78 38-944 Kościerzyna,"['Ekspercki Analizator Danych', 'Guru Matematyki', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner']"
364,Andrzej,Szałaj,mężczyzna,24-12-2002,aleja Nowa 541 60-759 Zielona Góra,"['Guru Matematyki', 'Technologiczny Wizjoner', 'Ambitny Naukowiec', 'Guru Matematyki']"
365,Piotr,Pajdak,mężczyzna,04-11-2002,al. Letnia 04/76 38-930 Kętrzyn,"['Guru Matematyki', 'Wielki Odkrywca', 'Kreatywny Problem Solver', 'Ambitny Naukowiec']"
366,Sylwia,Wandzel,kobieta,18-01-2005,pl. Klonowa 46/53 46-100 Wałbrzych,['Guru Matematyki']
367,Sandra,Bartłomiejczyk,kobieta,08-06-1983,al. Cedrowa 31 09-452 Oława,"['Ambitny Naukowiec', 'Ambitny Naukowiec']"
368,Iwo,Glenc,mężczyzna,17-03-2003,plac Kwiatowa 839 96-961 Jarocin,['Ambitny Naukowiec']
369,Antoni,Gwizdek,mężczyzna,23-11-1997,al. Broniewskiego 780 76-446 Żary,[]
370,Kacper,Jędrak,mężczyzna,29-10-1999,aleja Wczasowa 365 67-032 Łowicz,[]
371,Leonard,Suchora,mężczyzna,12-04-2002,ul. Tulipanowa 760 63-932 Kętrzyn,[]
372,Kaja,Łukowiak,kobieta,19-01-1999,aleja Solidarnosci 517 21-204 Katowice,['Kreatywny Problem Solver']
373,Julianna,Mizia,kobieta,05-09-1991,ulica Podmiejska 712 29-329 Brodnica,"['Technologiczny Wizjoner', 'Ekspercki Analizator Danych']"
374,Aniela,Machul,kobieta,27-12-1990,aleja Borowa 44 18-467 Pruszcz Gdański,"['Guru Matematyki', 'Mistrz Kodowania', 'Innowacyjny Programista', 'Innowacyjny Programista']"
375,Marcelina,Jajko,kobieta,21-11-1990,aleja Dolna 630 21-738 Skawina,"['Doskonały Komunikator', 'Ambitny Naukowiec', 'Mistrz Kodowania']"
376,Kajetan,Prystupa,mężczyzna,23-09-1993,plac Bema 853 42-032 Wejherowo,"['Guru Matematyki', 'Mistrz Kodowania', 'Zaangażowany Twórca', 'Wielki Odkrywca']"
377,Leon,Ziętal,mężczyzna,20-12-1995,aleja Robotnicza 58/14 85-424 Swarzędz,"['Kreatywny Problem Solver', 'Ambitny Naukowiec', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
378,Paweł,Pastor,mężczyzna,04-09-1986,ulica Lazurowa 48/62 16-354 Wyszków,[]
379,Szymon,Mularz,mężczyzna,02-01-1994,al. Słowackiego 51 83-633 Oleśnica,['Mistrz Kodowania']
380,Monika,Meissner,kobieta,26-06-1995,al. Jana Pawła II 49 68-571 Piekary Śląskie,"['Technologiczny Wizjoner', 'Mistrz Kodowania', 'Guru Matematyki']"
381,Hubert,Biegała,mężczyzna,14-03-1998,ulica Plażowa 67 33-923 Leszno,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
382,Norbert,Patalas,mężczyzna,30-04-1987,al. Zaciszna 92 59-636 Koło,[]
383,Sonia,Łodyga,kobieta,21-02-1996,plac Jodłowa 29/02 18-515 Lubin,"['Ambitny Naukowiec', 'Doskonały Komunikator', 'Mistrz Kodowania']"
384,Paweł,Dzikiewicz,mężczyzna,05-04-1992,plac Rzemieślnicza 70/07 33-569 Lubartów,[]
385,Jakub,Nieradko,mężczyzna,27-08-1992,ulica Morska 06/85 79-991 Legionowo,['Mistrz Kodowania']
386,Norbert,Hołota,mężczyzna,26-03-1987,ul. Jana III Sobieskiego 82/58 62-807 Jarocin,"['Zaangażowany Twórca', 'Doskonały Komunikator']"
387,Janina,Pryk,kobieta,19-01-1984,plac Wrocławska 68/29 91-096 Piekary Śląskie,"['Wielki Odkrywca', 'Technologiczny Wizjoner']"
388,Konstanty,Rajtar,mężczyzna,18-08-2003,pl. Śląska 66/19 34-851 Żyrardów,[]
389,Róża,Łapot,kobieta,02-01-1992,plac Jesionowa 38/86 94-022 Zgorzelec,"['Mistrz Kodowania', 'Kreatywny Problem Solver', 'Ambitny Naukowiec']"
390,Oliwier,Cyrek,mężczyzna,22-08-1999,al. Magnoliowa 448 83-805 Szczecinek,[]
391,Radosław,Łyskawa,mężczyzna,25-11-1989,pl. Bursztynowa 11 59-822 Lubliniec,['Kreatywny Problem Solver']
392,Malwina,Jośko,kobieta,01-07-2001,aleja Turkusowa 386 07-674 Lublin,['Innowacyjny Programista']
393,Konrad,Knysak,mężczyzna,16-03-2005,ulica Szeroka 26/05 27-857 Oława,['Doskonały Komunikator']
394,Stanisław,Siedlarz,mężczyzna,10-11-2000,plac Słonecznikowa 544 99-770 Nowy Sącz,['Ambitny Naukowiec']
395,Ewa,Szumny,kobieta,26-06-1996,pl. Skośna 73 35-752 Czeladź,"['Zaangażowany Twórca', 'Doskonały Komunikator', 'Doskonały Komunikator', 'Zaangażowany Twórca']"
396,Wiktor,Deryło,mężczyzna,09-06-1990,aleja Batalionów Chłopskich 61/25 95-079 Otwock,"['Innowacyjny Programista', 'Technologiczny Wizjoner']"
397,Cezary,Druszcz,mężczyzna,29-05-1996,ulica Mickiewicza 28/28 18-181 Szczecinek,"['Zaangażowany Twórca', 'Wielki Odkrywca', 'Ekspercki Analizator Danych']"
398,Anastazja,Wota,kobieta,15-04-2005,aleja Morelowa 229 04-156 Lubartów,[]
399,Filip,Skubis,mężczyzna,10-09-1999,plac Lawendowa 709 38-662 Olsztyn,"['Ambitny Naukowiec', 'Ekspercki Analizator Danych', 'Zaangażowany Twórca']"
400,Olgierd,Łyczak,mężczyzna,17-06-1983,plac Pomorska 70 12-843 Chorzów,"['Guru Matematyki', 'Zaangażowany Twórca', 'Ekspercki Analizator Danych', 'Ambitny Naukowiec']"
401,Arkadiusz,Torbus,mężczyzna,09-09-1993,pl. Łąkowa 41/40 60-281 Pruszków,"['Technologiczny Wizjoner', 'Guru Matematyki', 'Technologiczny Wizjoner', 'Mistrz Kodowania']"
402,Marianna,Uliasz,kobieta,04-10-1983,aleja Drzymały 35/21 87-902 Nysa,[]
403,Ewa,Stempniak,kobieta,17-05-2001,ul. Letnia 58 49-192 Świebodzice,"['Ekspercki Analizator Danych', 'Ambitny Naukowiec', 'Zaangażowany Twórca']"
404,Eliza,Żybura,kobieta,24-10-1983,ulica Traugutta 053 24-079 Żagań,[]
405,Malwina,Szlęk,kobieta,19-05-1994,ul. Witosa 85 01-096 Kwidzyn,"['Doskonały Komunikator', 'Ambitny Naukowiec', 'Mistrz Kodowania', 'Kreatywny Problem Solver']"
406,Paweł,Nyk,mężczyzna,03-07-1992,aleja Jabłoniowa 276 13-260 Płock,['Kreatywny Problem Solver']
407,Olgierd,Rysz,mężczyzna,27-10-2005,ulica Cicha 867 14-252 Olkusz,"['Wielki Odkrywca', 'Ekspercki Analizator Danych']"
408,Aniela,Niemira,kobieta,22-12-1988,ulica Kamienna 09/71 85-481 Czerwionka-Leszczyny,"['Wielki Odkrywca', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
409,Julianna,Bek,kobieta,27-10-1985,pl. Kochanowskiego 834 18-237 Kłodzko,['Innowacyjny Programista']
410,Marianna,Dzieża,kobieta,25-01-1998,pl. Środkowa 42/48 88-212 Wrocław,['Kreatywny Problem Solver']
411,Emil,Flisek,mężczyzna,26-09-1987,pl. Bałtycka 16 78-506 Wałcz,['Doskonały Komunikator']
412,Ewelina,Piekarek,kobieta,11-07-1992,pl. Targowa 51 85-206 Bartoszyce,['Ekspercki Analizator Danych']
413,Elżbieta,Kandzia,kobieta,16-10-1998,ul. Władysława Łokietka 63 60-418 Łomża,[]
414,Iwo,Klisz,mężczyzna,29-06-1989,al. Kolorowa 286 72-131 Mielec,['Ekspercki Analizator Danych']
415,Janina,Pietrus,kobieta,01-03-2002,aleja Władysława Jagiełły 53 01-347 Tarnobrzeg,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
416,Borys,Kojder,mężczyzna,09-10-1986,ulica Piastowska 00 81-486 Tychy,"['Guru Matematyki', 'Ekspercki Analizator Danych', 'Kreatywny Problem Solver', 'Ambitny Naukowiec']"
417,Krzysztof,Znojek,mężczyzna,20-08-2005,al. Grunwaldzka 520 41-743 Racibórz,[]
418,Ernest,Polasik,mężczyzna,18-03-2002,plac Górska 91 06-629 Tczew,"['Mistrz Kodowania', 'Guru Matematyki', 'Wielki Odkrywca']"
419,Dawid,Mosur,mężczyzna,18-01-1997,ul. Matejki 71/30 53-993 Wieluń,"['Wielki Odkrywca', 'Doskonały Komunikator', 'Technologiczny Wizjoner']"
420,Kamila,Kubek,kobieta,21-01-1999,ulica Nałkowskiej 62/35 52-667 Kętrzyn,[]
421,Marika,Kazana,kobieta,21-07-1997,aleja Narcyzowa 36/21 50-036 Pruszków,[]
422,Dominik,Perlik,mężczyzna,14-05-2003,aleja Działkowa 54/80 16-907 Radomsko,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
423,Marika,Cholewka,kobieta,24-11-1994,aleja Zaułek 49/65 59-902 Sanok,"['Ekspercki Analizator Danych', 'Innowacyjny Programista', 'Ambitny Naukowiec', 'Guru Matematyki']"
424,Borys,Broszkiewicz,mężczyzna,28-10-2002,ulica Grzybowa 116 06-023 Malbork,"['Innowacyjny Programista', 'Wielki Odkrywca', 'Technologiczny Wizjoner', 'Zaangażowany Twórca']"
425,Julian,Łukowicz,mężczyzna,23-05-1993,aleja Orzeszkowej 67/47 12-749 Brzeg,['Kreatywny Problem Solver']
426,Robert,Glonek,mężczyzna,23-05-1986,pl. Glówna 07/21 49-084 Krosno,"['Zaangażowany Twórca', 'Ambitny Naukowiec']"
427,Alex,Fogiel,mężczyzna,03-05-1996,ulica Konwaliowa 81/65 69-937 Gniezno,[]
428,Mariusz,Czochara,mężczyzna,16-12-1984,aleja Wyzwolenia 22/16 84-180 Żory,[]
429,Aurelia,Babiuch,kobieta,01-11-1983,ul. Rolna 20 30-911 Gliwice,[]
430,Damian,Łaś,mężczyzna,01-06-1995,al. Ceglana 93/36 77-996 Gorlice,"['Wielki Odkrywca', 'Wielki Odkrywca']"
431,Szymon,Suchora,mężczyzna,16-01-1986,aleja Powstańców Wielkopolskich 00 02-155 Zgorzelec,"['Innowacyjny Programista', 'Kreatywny Problem Solver', 'Innowacyjny Programista', 'Ekspercki Analizator Danych']"
432,Eliza,Maćków,kobieta,05-07-1994,ul. Lubelska 13 99-405 Świebodzice,['Zaangażowany Twórca']
433,Paweł,Mila,mężczyzna,16-10-1993,pl. Kalinowa 74/27 86-888 Katowice,['Technologiczny Wizjoner']
434,Mariusz,Przystupa,mężczyzna,23-11-1999,pl. Cedrowa 16/39 73-856 Zambrów,"['Kreatywny Problem Solver', 'Mistrz Kodowania', 'Mistrz Kodowania', 'Zaangażowany Twórca']"
435,Konstanty,Żuberek,mężczyzna,14-05-1988,ulica Ciasna 26 58-329 Mysłowice,['Ambitny Naukowiec']
436,Maksymilian,Siara,mężczyzna,05-07-2001,aleja Krzywa 672 65-878 Zakopane,['Innowacyjny Programista']
437,Ryszard,Wojtyś,mężczyzna,03-07-2004,aleja Piastowska 15/67 92-183 Sieradz,['Ambitny Naukowiec']
438,Ewelina,Dziwak,kobieta,15-01-2004,aleja Zwycięstwa 994 83-778 Goleniów,"['Innowacyjny Programista', 'Wielki Odkrywca']"
439,Konstanty,Tworzydło,mężczyzna,25-04-1994,al. Olchowa 23 36-232 Pruszków,"['Guru Matematyki', 'Technologiczny Wizjoner', 'Wielki Odkrywca', 'Technologiczny Wizjoner']"
440,Maurycy,Olearczyk,mężczyzna,14-05-1996,plac Lawendowa 50 16-940 Ostrołęka,['Zaangażowany Twórca']
441,Albert,Markiel,mężczyzna,09-09-1991,ul. Zapolskiej 55 66-569 Grudziądz,"['Ekspercki Analizator Danych', 'Ekspercki Analizator Danych', 'Ambitny Naukowiec', 'Wielki Odkrywca']"
442,Albert,Dydak,mężczyzna,25-11-2004,pl. Perłowa 601 47-660 Augustów,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
443,Sonia,Wasiuk,kobieta,27-03-1995,aleja Brzechwy 48 04-793 Kraków,"['Ambitny Naukowiec', 'Innowacyjny Programista', 'Zaangażowany Twórca']"
444,Emil,Joniak,mężczyzna,13-05-1990,pl. Wyszyńskiego 652 16-802 Tczew,"['Ekspercki Analizator Danych', 'Wielki Odkrywca']"
445,Natasza,Truchan,kobieta,10-10-1986,al. Kolejowa 77/46 51-037 Chełm,"['Ekspercki Analizator Danych', 'Innowacyjny Programista', 'Innowacyjny Programista', 'Ambitny Naukowiec']"
446,Janina,Śnieg,kobieta,26-08-1992,aleja Wiosenna 10/95 02-784 Radom,[]
447,Radosław,Szłapka,mężczyzna,29-12-1985,plac Strumykowa 90/54 62-837 Grodzisk Mazowiecki,"['Innowacyjny Programista', 'Innowacyjny Programista', 'Ekspercki Analizator Danych']"
448,Marcelina,Cogiel,kobieta,17-10-2004,ul. Kamienna 35/13 44-519 Nowy Dwór Mazowiecki,"['Technologiczny Wizjoner', 'Kreatywny Problem Solver', 'Zaangażowany Twórca', 'Doskonały Komunikator']"
449,Albert,Piszcz,mężczyzna,23-04-1988,ul. Morcinka 547 19-336 Lubliniec,['Kreatywny Problem Solver']
450,Tadeusz,Sularz,mężczyzna,07-08-1997,ul. Pocztowa 26/00 26-617 Łódź,"['Mistrz Kodowania', 'Kreatywny Problem Solver', 'Mistrz Kodowania']"
451,Miłosz,Tryka,mężczyzna,09-08-1993,al. Dworska 09 33-840 Goleniów,"['Doskonały Komunikator', 'Doskonały Komunikator', 'Doskonały Komunikator', 'Ambitny Naukowiec']"
452,Maciej,Ufniarz,mężczyzna,17-11-1991,al. Jadwigi 427 42-333 Nysa,['Mistrz Kodowania']
453,Aniela,Kołtuniak,kobieta,24-05-1984,pl. Mokra 648 29-507 Śrem,"['Doskonały Komunikator', 'Zaangażowany Twórca', 'Guru Matematyki', 'Doskonały Komunikator']"
454,Ksawery,Siemieńczuk,mężczyzna,20-03-2002,plac Glówna 215 11-934 Ostrów Mazowiecka,"['Mistrz Kodowania', 'Kreatywny Problem Solver']"
455,Filip,Michalkiewicz,mężczyzna,09-06-2004,ul. Gajowa 328 01-571 Grodzisk Mazowiecki,"['Doskonały Komunikator', 'Kreatywny Problem Solver']"
456,Aleks,Gąbka,mężczyzna,19-01-1986,aleja Środkowa 543 42-327 Białogard,"['Zaangażowany Twórca', 'Doskonały Komunikator']"
457,Alex,Bienia,mężczyzna,23-07-1987,al. Poznańska 125 60-372 Łaziska Górne,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner', 'Wielki Odkrywca', 'Kreatywny Problem Solver']"
458,Piotr,Ochnio,mężczyzna,20-08-1995,aleja Jałowcowa 55 12-128 Żyrardów,"['Mistrz Kodowania', 'Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Doskonały Komunikator']"
459,Adam,Wywiał,mężczyzna,22-12-1982,pl. Chmielna 698 92-903 Chrzanów,['Guru Matematyki']
460,Oliwier,Naczk,mężczyzna,21-03-2005,pl. Letnia 11 26-615 Rumia,"['Wielki Odkrywca', 'Ekspercki Analizator Danych', 'Guru Matematyki', 'Guru Matematyki']"
461,Krystian,Jasnoch,mężczyzna,17-06-1995,plac Dworska 25/63 07-231 Bochnia,[]
462,Aurelia,Leszcz,kobieta,01-12-1991,plac Sikorskiego 990 09-665 Zgorzelec,"['Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Doskonały Komunikator']"
463,Cezary,Kapcia,mężczyzna,30-06-1984,al. Plażowa 326 38-093 Dąbrowa Górnicza,[]
464,Roksana,Anders,kobieta,27-06-2001,plac Niecała 779 92-757 Kołobrzeg,[]
465,Apolonia,Mrózek,kobieta,27-10-1991,al. Solidarnosci 886 23-322 Koszalin,[]
466,Dagmara,Kożuszek,kobieta,26-09-2000,plac Rolnicza 634 86-165 Zakopane,[]
467,Antoni,Moczko,mężczyzna,20-01-1991,ul. Daszyńskiego 662 95-395 Płock,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Guru Matematyki', 'Technologiczny Wizjoner']"
468,Ignacy,Łyś,mężczyzna,24-01-1991,ul. Błękitna 910 67-446 Bydgoszcz,['Technologiczny Wizjoner']
469,Nela,Pietrasiak,kobieta,21-01-1988,ulica Mieszka I 474 97-078 Sopot,"['Guru Matematyki', 'Doskonały Komunikator']"
470,Kornelia,Kretek,kobieta,12-12-1991,ulica Krzywa 592 05-466 Stargard Szczeciński,"['Innowacyjny Programista', 'Kreatywny Problem Solver']"
471,Natasza,Ciapa,kobieta,10-05-2000,ulica Wojska Polskiego 13/57 62-145 Żary,['Ekspercki Analizator Danych']
472,Karol,Ślimak,mężczyzna,13-05-2005,pl. Wesoła 416 80-166 Wejherowo,"['Innowacyjny Programista', 'Guru Matematyki', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
473,Ewelina,Strzępek,kobieta,24-03-2005,ul. Cicha 409 92-437 Białystok,"['Mistrz Kodowania', 'Zaangażowany Twórca']"
474,Kacper,Kijas,mężczyzna,12-05-1986,ulica Chabrowa 160 74-480 Leszno,"['Wielki Odkrywca', 'Mistrz Kodowania', 'Doskonały Komunikator', 'Doskonały Komunikator']"
475,Stefan,Patora,mężczyzna,14-08-1995,ul. Wolności 01 46-123 Pabianice,"['Technologiczny Wizjoner', 'Innowacyjny Programista']"
476,Juliusz,Kierepka,mężczyzna,27-01-1999,ul. Glówna 780 71-281 Sieradz,['Kreatywny Problem Solver']
477,Maksymilian,Kubina,mężczyzna,04-05-1984,aleja Młynarska 50/83 27-576 Wyszków,"['Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Wielki Odkrywca', 'Guru Matematyki']"
478,Dawid,Domian,mężczyzna,27-07-1996,ulica Piwna 289 55-286 Bielawa,[]
479,Krystian,Wojtalewicz,mężczyzna,19-01-1996,plac Piwna 888 87-135 Chełm,[]
480,Norbert,Radziewicz,mężczyzna,15-08-1989,plac Makuszyńskiego 03/50 02-302 Luboń,['Wielki Odkrywca']
481,Artur,Kocoł,mężczyzna,03-12-1997,plac Bydgoska 929 18-280 Kluczbork,"['Zaangażowany Twórca', 'Technologiczny Wizjoner']"
482,Anita,Supernak,kobieta,11-07-2003,plac Fiołkowa 228 85-835 Gorlice,['Kreatywny Problem Solver']
483,Nataniel,Berendt,mężczyzna,19-06-2004,pl. Północna 16/81 86-539 Żagań,[]
484,Ryszard,Jagiełka,mężczyzna,08-03-1989,plac Partyzantów 61 54-633 Lubin,[]
485,Julita,Berek,kobieta,19-11-1995,aleja Rybacka 69 27-942 Marki,['Kreatywny Problem Solver']
486,Klara,Wałek,kobieta,10-05-2001,ulica Wodna 42 69-131 Tychy,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
487,Jan,Szyma,mężczyzna,19-11-1983,aleja Jesienna 65/43 39-745 Racibórz,"['Guru Matematyki', 'Innowacyjny Programista', 'Innowacyjny Programista']"
488,Rafał,Łakota,mężczyzna,29-08-1987,ulica Staffa 48 81-529 Lębork,"['Doskonały Komunikator', 'Guru Matematyki', 'Wielki Odkrywca', 'Kreatywny Problem Solver']"
489,Adam,Cibor,mężczyzna,27-03-2003,plac Klasztorna 37 72-603 Ostrów Wielkopolski,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Doskonały Komunikator']"
490,Tymoteusz,Trzyna,mężczyzna,14-02-1990,pl. Szafirowa 205 10-491 Sopot,"['Innowacyjny Programista', 'Doskonały Komunikator', 'Mistrz Kodowania', 'Guru Matematyki']"
491,Fabian,Loba,mężczyzna,08-01-1983,pl. Wróblewskiego 47/83 67-931 Żywiec,"['Zaangażowany Twórca', 'Mistrz Kodowania', 'Guru Matematyki']"
492,Marcin,Konsek,mężczyzna,10-04-2000,ulica Moniuszki 43/78 44-170 Pszczyna,[]
493,Marek,Garbaciak,mężczyzna,20-02-1997,aleja Krakowska 38 82-952 Przemyśl,[]
494,Oliwier,Żołnierczyk,mężczyzna,03-03-1983,pl. Moniuszki 48 92-301 Kraśnik,"['Kreatywny Problem Solver', 'Kreatywny Problem Solver', 'Wielki Odkrywca', 'Kreatywny Problem Solver']"
495,Aurelia,Januszko,kobieta,19-11-1987,aleja Bema 94 01-682 Malbork,['Technologiczny Wizjoner']
496,Marcelina,Cygal,kobieta,11-01-1984,ul. Wiosenna 103 61-435 Chełm,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
497,Rozalia,Gula,kobieta,07-05-1993,plac Reja 289 87-333 Radom,"['Zaangażowany Twórca', 'Wielki Odkrywca']"
498,Aniela,Łapot,kobieta,29-01-2005,ulica Miodowa 884 48-878 Kołobrzeg,[]
499,Arkadiusz,Fronczyk,mężczyzna,02-06-1991,ulica Rzemieślnicza 33 29-981 Oława,"['Kreatywny Problem Solver', 'Doskonały Komunikator', 'Ekspercki Analizator Danych', 'Innowacyjny Programista']"
500,Piotr,Pernak,mężczyzna,12-04-1994,ul. Słowackiego 27 42-666 Przemyśl,"['Guru Matematyki', 'Ambitny Naukowiec', 'Zaangażowany Twórca']"
501,Apolonia,Dubis,kobieta,06-03-1991,ulica Kalinowa 68 65-223 Sanok,"['Ambitny Naukowiec', 'Wielki Odkrywca', 'Wielki Odkrywca']"
502,Urszula,Wyrwał,kobieta,29-10-1990,ulica Królewska 15/57 99-729 Opole,['Technologiczny Wizjoner']
503,Mariusz,Bociek,mężczyzna,12-11-1993,pl. Pułaskiego 75/68 52-247 Inowrocław,['Kreatywny Problem Solver']
504,Ewa,Leks,kobieta,01-07-2004,plac Browarna 642 02-394 Bielsk Podlaski,"['Guru Matematyki', 'Ambitny Naukowiec']"
505,Oskar,Uliczka,mężczyzna,17-02-2000,ulica Wolności 305 77-442 Lubartów,"['Guru Matematyki', 'Mistrz Kodowania', 'Doskonały Komunikator']"
506,Miłosz,Filak,mężczyzna,19-03-1996,al. Ściegiennego 90 24-488 Kutno,[]
507,Aleks,Skwira,mężczyzna,15-06-1992,plac Strumykowa 23 03-347 Włocławek,[]
508,Dawid,Parkitna,mężczyzna,11-10-1990,aleja Konwaliowa 47/06 98-646 Koszalin,[]
509,Olgierd,Rajch,mężczyzna,25-08-1989,aleja Jarzębinowa 73/06 32-285 Będzin,"['Doskonały Komunikator', 'Doskonały Komunikator', 'Wielki Odkrywca', 'Kreatywny Problem Solver']"
510,Kajetan,Olearczyk,mężczyzna,17-03-2002,ulica Wilcza 51/44 01-374 Piekary Śląskie,"['Guru Matematyki', 'Doskonały Komunikator', 'Guru Matematyki']"
511,Klara,Bugno,kobieta,07-10-1999,ulica Poniatowskiego 86/94 45-822 Inowrocław,[]
512,Ewa,Lemiesz,kobieta,25-08-1987,aleja Solidarnosci 29/78 77-770 Augustów,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Guru Matematyki']"
513,Franciszek,Uroda,mężczyzna,26-07-1996,pl. Lawendowa 03 78-940 Knurów,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych', 'Mistrz Kodowania']"
514,Michał,Wawrzeńczyk,mężczyzna,10-08-2003,pl. Irysowa 34 87-970 Ełk,"['Mistrz Kodowania', 'Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Ambitny Naukowiec']"
515,Tadeusz,Dacko,mężczyzna,05-10-1991,aleja Wyspiańskiego 35/23 07-343 Nowy Dwór Mazowiecki,[]
516,Gaja,Szczepaniuk,kobieta,08-12-1994,plac Władysława Jagiełły 91 18-164 Poznań,[]
517,Anastazja,Szulist,kobieta,02-07-1991,al. Rzeczna 256 36-791 Brodnica,"['Ambitny Naukowiec', 'Zaangażowany Twórca', 'Ambitny Naukowiec', 'Ambitny Naukowiec']"
518,Ksawery,Gierat,mężczyzna,06-12-1995,ul. Sikorskiego 36 52-797 Bielsk Podlaski,[]
519,Bruno,Witkowicz,mężczyzna,31-03-1999,pl. Nadbrzeżna 74 05-148 Wałcz,[]
520,Marcel,Bartela,mężczyzna,27-07-1992,al. Wiosenna 06 15-340 Myszków,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Ambitny Naukowiec', 'Doskonały Komunikator']"
521,Adam,Smardz,mężczyzna,11-03-1998,ulica Wschodnia 10 14-924 Zgierz,"['Innowacyjny Programista', 'Kreatywny Problem Solver', 'Kreatywny Problem Solver', 'Kreatywny Problem Solver']"
522,Anita,Gołek,kobieta,01-08-1996,ul. Chabrowa 52/91 45-595 Luboń,"['Doskonały Komunikator', 'Wielki Odkrywca']"
523,Kornelia,Piaścik,kobieta,16-05-1986,ul. Dworska 28/10 11-291 Chełm,"['Ekspercki Analizator Danych', 'Guru Matematyki', 'Guru Matematyki']"
524,Adrianna,Dering,kobieta,03-04-2005,plac Pułaskiego 940 46-758 Włocławek,[]
525,Paweł,Paśnik,mężczyzna,21-05-2001,plac Hutnicza 81 03-365 Starogard Gdański,"['Kreatywny Problem Solver', 'Zaangażowany Twórca']"
526,Ksawery,Makaruk,mężczyzna,15-10-1996,pl. Władysława Łokietka 16/86 76-997 Pabianice,"['Wielki Odkrywca', 'Ambitny Naukowiec']"
527,Klara,Dejneka,kobieta,08-09-1988,ul. Cegielniana 58 99-263 Nowy Sącz,[]
528,Nicole,Januchta,mężczyzna,01-07-1994,al. Sikorskiego 29/28 96-210 Ostrowiec Świętokrzyski,"['Wielki Odkrywca', 'Technologiczny Wizjoner', 'Zaangażowany Twórca']"
529,Adam,Miodek,mężczyzna,04-07-1984,ul. Zakole 94/57 94-640 Szczecinek,[]
530,Fabian,Skupin,mężczyzna,24-11-1997,pl. Brzoskwiniowa 27/72 02-516 Dzierżoniów,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Ambitny Naukowiec', 'Ambitny Naukowiec']"
531,Rozalia,Łokietek,kobieta,14-02-2005,ul. Cegielniana 85 43-094 Puławy,"['Guru Matematyki', 'Innowacyjny Programista', 'Wielki Odkrywca', 'Ekspercki Analizator Danych']"
532,Norbert,Sporysz,mężczyzna,28-10-1988,pl. Waryńskiego 23 83-157 Sieradz,"['Guru Matematyki', 'Ambitny Naukowiec']"
533,Maksymilian,Joszko,mężczyzna,19-03-1998,plac Zapolskiej 49 30-825 Jelenia Góra,[]
534,Melania,Przeniosło,kobieta,09-11-1984,al. Porzeczkowa 306 27-881 Myszków,['Doskonały Komunikator']
535,Jakub,Szłapka,mężczyzna,01-04-1994,pl. Lelewela 460 39-078 Czechowice-Dziedzice,"['Ambitny Naukowiec', 'Mistrz Kodowania', 'Zaangażowany Twórca', 'Wielki Odkrywca']"
