ID,Imie,Nazwisko,P³eæ,Data urodzenia,Adres
1476,Jerzy,Olewniczak,mê¿czyzna,1992-04-01,aleja Dobra 014 75-812 Dêbica
1477,Malwina,Sarosiek,kobieta,1989-06-04,aleja Kruczkowskiego 11/67 58-328 Legnica
1478,Bianka,Wysota,kobieta,1985-07-18,plac Górska 859 99-046 Tczew
1479,Artur,Krysta,mê¿czyzna,1998-09-11,al. Podwale 53/91 09-466 Bia³ystok
1480,Klara,Cieniuch,kobieta,1984-12-07,al. Rzemieœlnicza 73 67-963 Otwock
1481,Agnieszka,Barankiewicz,kobieta,1987-08-20,plac Partyzantów 131 95-596 Kraków
1482,Rozalia,Wika,kobieta,2002-12-28,ulica Koralowa 372 30-686 Œwiecie
1483,Dariusz,Œmieszek,mê¿czyzna,1995-07-11,ulica Stra¿acka 27/50 16-327 Bielsk Podlaski
1484,Anita,Kuciak,kobieta,1997-04-23,ul. Górnicza 639 72-599 Pi³a
1485,Piotr,Wawrzyñczyk,mê¿czyzna,2003-08-06,ulica Mazurska 905 49-314 Œwiebodzice
1486,Tadeusz,Tryka,mê¿czyzna,1995-01-18,al. Krañcowa 49/66 09-058 Dzier¿oniów
1487,Agnieszka,Kowalówka,kobieta,2001-09-09,ulica Jastrzêbia 46 17-832 Wo³omin
1488,Maksymilian,Tabiœ,mê¿czyzna,1985-05-30,ul. Mickiewicza 799 26-898 Skierniewice
1489,Ewa,Szok,kobieta,2004-12-04,plac Jana Sobieskiego 12/05 59-610 Rybnik
1490,Apolonia,Obia³a,kobieta,1987-05-01,ul. Pó³nocna 595 17-938 Kraœnik
1491,Maciej,Zimniak,mê¿czyzna,2003-06-24,plac Z³ota 11/47 67-608 Tychy
1492,Inga,Maziarczyk,kobieta,1995-03-13,plac Jana III Sobieskiego 641 39-923 Olkusz
1493,Cyprian,Hajder,mê¿czyzna,1992-12-11,al. Borowa 670 03-198 P³ock
1494,Tobiasz,Tec³aw,mê¿czyzna,1989-08-24,ulica Staffa 88 08-209 Bielawa
1495,El¿bieta,Kubiaczyk,kobieta,1994-05-28,al. Krasiñskiego 056 11-709 I³awa
1496,Mieszko,Kuboñ,mê¿czyzna,1990-10-10,ul. Moniuszki 194 91-161 Nowy S¹cz
1497,Wojciech,Twardy,mê¿czyzna,1988-11-05,plac Konstytucji 3 Maja 04/48 80-515 Gorzów Wielkopolski
1498,Juliusz,Lepak,mê¿czyzna,1984-11-26,ulica Morska 234 33-556 Skawina
1499,Antoni,Kucewicz,mê¿czyzna,1992-10-31,ulica Irysowa 59/67 22-847 K³odzko
1500,Jeremi,Myszak,mê¿czyzna,1983-11-03,al. Widok 705 17-474 Œwiebodzice
1501,Rafa³,Hajduga,mê¿czyzna,2000-11-14,plac Rolnicza 591 30-749 Siemianowice Œl¹skie
1502,Kamil,KoŸlak,mê¿czyzna,2003-10-18,pl. Wroc³awska 133 24-824 Chorzów
1503,Anastazja,Larysz,kobieta,1983-07-04,ulica Stroma 287 77-694 Ko³obrzeg
1504,Julian,Mazan,mê¿czyzna,2001-10-03,plac Narcyzowa 671 39-891 Jastrzêbie-Zdrój
1505,Adrian,Gradek,mê¿czyzna,1988-10-05,plac Cicha 601 74-117 Katowice
1506,Iwo,Bzymek,mê¿czyzna,2000-02-15,ul. Wysoka 81/63 41-677 Jawor
1507,Angelika,Gajzler,kobieta,1989-04-18,ul. Sawickiej 091 08-300 Zambrów
1508,Fabian,Kowalówka,mê¿czyzna,1991-02-23,ul. S³oneczna 334 89-925 Ostro³êka
1509,Tobiasz,Jama,mê¿czyzna,1989-02-15,plac Szmaragdowa 215 33-823 Starogard Gdañski
1510,Marcin,Ochal,mê¿czyzna,2001-04-29,al. Hallera 346 76-933 Luboñ
1511,Oliwier,Glanc,mê¿czyzna,1984-01-22,plac Jagodowa 06/45 15-428 Augustów
1512,Adam,Œwitaj,mê¿czyzna,1984-06-01,pl. Szarych Szeregów 72 63-549 M³awa
1513,Liwia,Kajak,kobieta,1989-03-01,ul. Lisia 621 39-810 Bochnia
1514,Pawe³,Tokarek,mê¿czyzna,2002-03-06,al. £abêdzia 99 42-794 Sandomierz
1515,Jacek,Kawiak,mê¿czyzna,2000-05-04,aleja Konwaliowa 70/49 39-460 Pabianice
1516,Arkadiusz,£acina,mê¿czyzna,1991-03-05,pl. Zacisze 98 88-275 £owicz
1517,Marcin,Gabara,mê¿czyzna,1995-01-10,ul. Srebrna 979 08-849 Kluczbork
1518,Piotr,Janoszek,mê¿czyzna,1992-05-24,al. Krasickiego 909 65-368 Gorlice
1519,Tymon,Koczy,mê¿czyzna,2004-10-03,ul. Œl¹ska 32/12 10-599 Inowroc³aw
1520,Julita,Kwapieñ,kobieta,2004-02-08,aleja Baczynskiego 20 94-686 Dêbica
1521,Maurycy,Kosowicz,mê¿czyzna,2001-02-25,aleja Rybacka 285 20-456 Bielsko-Bia³a
1522,Marek,Ciesió³ka,mê¿czyzna,1991-03-07,ul. Pogodna 446 32-505 Be³chatów
1523,Sandra,Rozumek,kobieta,2002-05-27,aleja Turkusowa 47/39 18-388 Brzeg
1524,Witold,Litwa,mê¿czyzna,2000-05-26,al. Bydgoska 50/48 36-999 G³ogów
1525,Dominik,Hankiewicz,mê¿czyzna,1985-06-18,aleja W³adys³awa Jagie³³y 24 83-654 Ko³obrzeg
1526,Krystyna,Krenc,kobieta,2005-09-25,ul. ¯urawia 93/51 05-260 Turek
1527,Karina,Dar³ak,kobieta,1998-05-17,plac Towarowa 60 63-551 Augustów
1528,Emil,Ziniewicz,mê¿czyzna,1989-11-10,pl. Zapolskiej 59/59 52-365 Radom
1529,Adrianna,Juroszek,kobieta,1997-10-17,ul. Nadbrze¿na 98 37-901 Wroc³aw
1530,Apolonia,Baranowicz,kobieta,2002-09-24,plac Swierkowa 320 79-164 Chrzanów
1531,Ró¿a,Ciochoñ,kobieta,2004-08-10,al. Krasiñskiego 62 15-112 Wroc³aw
1532,Janina,Mazanek,kobieta,1985-08-24,plac Z³ota 566 82-011 Cieszyn
1533,Jerzy,Klebba,mê¿czyzna,1988-09-01,pl. Grottgera 12 57-764 Wo³omin
1534,Anna Maria,Pasieczna,kobieta,2001-03-20,pl. Willowa 935 56-710 Czerwionka-Leszczyny
1535,Robert,Wietecha,mê¿czyzna,1987-01-10,ul. Szafirowa 45/52 20-125 Œroda Wielkopolska
1536,Melania,Bylina,kobieta,2000-09-03,pl. Wiatraczna 00/29 98-304 G³ogów
1537,Inga,Dr¹¿yk,kobieta,1983-05-04,aleja Srebrna 464 80-799 K³odzko
1538,Apolonia,Œledzik,kobieta,1986-01-24,ul. Wiklinowa 37/72 23-110 Bartoszyce
1539,Juliusz,Lazarek,mê¿czyzna,1993-08-04,al. Modrzewiowa 697 50-982 CzeladŸ
1540,Bruno,Gajdzik,mê¿czyzna,2002-05-18,al. Wolnoœci 74/78 63-050 Konin
1541,Urszula,Andreasik,kobieta,1995-11-29,al. Rubinowa 404 35-254 Jaworzno
1542,Liwia,Kubasiewicz,kobieta,1994-03-01,aleja Widokowa 72 78-951 Bielsko-Bia³a
1543,Alex,Stachów,mê¿czyzna,1995-01-10,ul. Kaliska 72 26-779 Z¹bki
1544,Przemys³aw,Rusnak,mê¿czyzna,1998-05-20,aleja Konarskiego 539 69-280 Brzeg
1545,Olgierd,Lizurej,mê¿czyzna,1988-05-22,ul. Szeroka 46 34-139 Swarzêdz
1546,Igor,Kramer,mê¿czyzna,1998-03-30,plac Poniatowskiego 23 97-312 Bielsko-Bia³a
1547,Aurelia,Rysz,kobieta,1988-09-27,pl. Prusa 48 18-081 Wodzis³aw Œl¹ski
1548,Igor,Jandu³a,mê¿czyzna,1997-03-17,ul. Rycerska 81/30 12-196 Augustów
1549,Kalina,Fulara,kobieta,1983-07-05,plac Boczna 298 52-074 Nowy Dwór Mazowiecki
1550,Daniel,Pitala,mê¿czyzna,1989-10-27,aleja Hallera 09 56-995 Œwinoujœcie
1551,Ida,Bakiera,kobieta,1994-02-28,al. Morska 865 12-460 Turek
1552,Arkadiusz,Deptuch,mê¿czyzna,1995-01-23,pl. Fredry 51/88 45-258 Ostrowiec Œwiêtokrzyski
1553,Dominik,Bugiel,mê¿czyzna,1987-08-04,aleja Tylna 447 38-615 Pruszków
1554,Gaja,Klamka,kobieta,1999-04-25,ul. Przemys³owa 44/64 93-646 Wroc³aw
1555,Kamila,Jarema,kobieta,1999-01-16,pl. Kaliska 15/89 97-296 Gdynia
1556,Tobiasz,Pizoñ,mê¿czyzna,2002-09-20,ulica Weso³a 973 87-584 Œwiecie
1557,Bianka,Molga,kobieta,1997-10-20,plac £abêdzia 59 60-366 £aziska Górne
1558,Damian,Gasz,mê¿czyzna,1994-11-03,ulica Czêstochowska 833 33-687 Jastrzêbie-Zdrój
1559,Jacek,Potoczek,mê¿czyzna,1983-05-24,plac Cyprysowa 65/63 53-795 Miñsk Mazowiecki
1560,Gabriel,Wyrostek,mê¿czyzna,1984-10-17,plac Mazowiecka 21 06-296 Grudzi¹dz
1561,Marcin,Kiepura,mê¿czyzna,2001-03-15,al. Jana III Sobieskiego 894 99-130 £owicz
1562,Kaja,Bejnarowicz,kobieta,1991-12-02,al. Zdrojowa 99 44-673 Oleœnica
1563,Marianna,Matejuk,kobieta,1988-01-06,pl. Wiejska 38/50 03-247 Piastów
1564,Ewa,Jakimiak,kobieta,2004-08-31,ul. Widokowa 908 13-427 Jastrzêbie-Zdrój
1565,Sara,Kozubal,kobieta,1989-11-12,aleja Fio³kowa 51/53 89-214 Nowa Ruda
1566,Sylwia,Engler,kobieta,1985-09-08,plac Grottgera 861 74-978 Piekary Œl¹skie
1567,Lidia,Gogol,kobieta,2000-01-06,ul. Nowowiejska 093 40-981 Miko³ów
1568,Julianna,Malon,kobieta,2002-07-31,plac Cedrowa 52 91-029 Zgorzelec
1569,Jacek,Mosio³ek,mê¿czyzna,2000-05-19,ul. Partyzantów 18/88 57-220 Nowa Ruda
1570,Nela,Wnuczek,kobieta,1999-05-23,plac Warszawska 82/68 77-116 Ostrowiec Œwiêtokrzyski
1571,Inga,Cukier,kobieta,1991-02-09,aleja Ogrodowa 60 61-144 Ostróda
1572,Maciej,Bosek,mê¿czyzna,1990-10-06,aleja Spó³dzielcza 359 63-252 Skar¿ysko-Kamienna
1573,Kacper,Duras,mê¿czyzna,1990-02-11,ul. Wysoka 43/16 94-279 Radom
1574,Damian,Obia³a,mê¿czyzna,2001-08-04,al. Kreta 882 19-881 Bia³a Podlaska
1575,Artur,Szachniewicz,mê¿czyzna,2003-06-15,ulica Wypoczynkowa 96/95 52-845 Skierniewice
1576,Kacper,Sutor,mê¿czyzna,2000-08-15,ul. Kruczkowskiego 27/68 90-875 Bia³a Podlaska
1577,Eryk,Perczak,mê¿czyzna,1996-06-14,plac Krasickiego 30/60 52-374 Ko³o
1578,Filip,Handzel,mê¿czyzna,1998-01-31,plac Waryñskiego 53/63 85-815 Bia³ystok
1579,Tymoteusz,Bacik,mê¿czyzna,1992-10-27,ul. Kazimierza Wielkiego 18 96-333 Bytom
1580,Maks,Kochel,mê¿czyzna,1983-08-09,aleja Jaskó³cza 00/44 93-163 Jarocin
1581,Eliza,Naglik,kobieta,2003-03-30,ulica Letnia 725 64-447 Szczytno
1582,Dorota,Ziarek,kobieta,2005-04-03,aleja Kiliñskiego 79/67 75-242 Boles³awiec
1583,Natasza,Podsiad³a,kobieta,1985-07-31,aleja Kamienna 78 06-402 Jas³o
1584,Nikodem,Kopczyk,mê¿czyzna,2005-02-22,plac Armii Krajowej 30/78 58-160 Wa³brzych
1585,Krystyna,Kuk,kobieta,2005-07-09,al. Morcinka 17 85-688 Luboñ
1586,Daniel,Patoka,mê¿czyzna,1986-02-07,ul. Dzia³kowa 364 71-155 Nowa Ruda
1587,Filip,Franaszek,mê¿czyzna,2002-05-02,pl. Rzeczna 35/89 36-016 Wodzis³aw Œl¹ski
1588,Ada,Oczkowicz,kobieta,1984-09-28,al. Olchowa 398 97-747 Œrem
1589,Albert,Szkaradek,mê¿czyzna,2004-06-19,pl. Dojazdowa 32/62 92-461 Œwiebodzice
1590,Tomasz,Noculak,mê¿czyzna,1989-06-21,plac Diamentowa 707 77-237 Ko³o
1591,£ukasz,Mijas,mê¿czyzna,1986-04-13,aleja Wróblewskiego 69/98 97-735 Nowy Dwór Mazowiecki
1592,Alan,Danel,mê¿czyzna,1995-04-11,al. Armii Krajowej 53 65-054 Nowa Ruda
1593,Szymon,Famu³a,mê¿czyzna,1983-12-07,plac Ja³owcowa 622 65-823 Tarnów
1594,Marcin,MoŸdzierz,mê¿czyzna,1987-01-26,pl. Pszenna 536 10-950 Piastów
1595,Monika,Surmiak,kobieta,2002-03-07,aleja Solidarnosci 117 69-952 Zamoœæ
1596,Kornelia,Ochnio,kobieta,1994-07-06,plac Kielecka 25/58 96-032 Konin
1597,Konstanty,Babiuch,mê¿czyzna,1990-10-04,ulica Krasickiego 60 52-201 Miko³ów
1598,Maciej,Sk³adanek,mê¿czyzna,1989-11-09,ul. Miodowa 71/52 98-706 Warszawa
1599,Mariusz,Pos³uszny,mê¿czyzna,2000-03-26,ulica Grzybowa 847 04-095 Jaros³aw
1600,Jeremi,Wawrzynowicz,mê¿czyzna,2005-11-27,pl. Kusociñskiego 94 93-007 Jaros³aw
1601,Agnieszka,Krzystek,kobieta,1998-02-20,aleja Sportowa 92 95-737 £om¿a
1602,Monika,Krysik,kobieta,2001-05-28,aleja Piaskowa 52 65-835 Konin
1603,Alan,Basista,mê¿czyzna,1983-08-22,plac Górnicza 02 95-649 Koszalin
1604,Gaja,Œledzik,kobieta,2000-12-05,pl. Orkana 070 10-328 Oleœnica
1605,Ignacy,Bu³awa,mê¿czyzna,2004-12-08,plac Radosna 02 88-045 Ostróda
1606,Jan,Ruman,mê¿czyzna,1992-09-18,al. Drzyma³y 36/32 01-018 Chrzanów
1607,Albert,Nó¿ka,mê¿czyzna,1997-08-06,ul. Czêstochowska 378 23-776 Stargard Szczeciñski
1608,Sylwia,Pyszny,kobieta,1986-10-09,pl. Harcerska 101 68-146 Swarzêdz
1609,Tobiasz,Ho³ota,mê¿czyzna,1997-05-18,al. Staffa 03/58 97-624 Ostro³êka
1610,£ukasz,Paszkowiak,mê¿czyzna,1989-11-22,aleja Rynek 26/32 57-302 Pruszcz Gdañski
1611,Gabriel,Morga³a,mê¿czyzna,1983-12-29,al. S³owianska 777 72-746 O³awa
1612,Inga,Mila,kobieta,2004-04-21,ulica Wolnoœci 19/27 93-704 Gorlice
1613,Dagmara,Witaszek,kobieta,2002-06-03,pl. Szafirowa 96/84 71-075 Œwiecie
1614,Tymon,Zielke,mê¿czyzna,2000-04-24,ulica Torowa 14/08 96-785 Ostrów Wielkopolski
1615,Igor,Owsiak,mê¿czyzna,1989-04-26,ul. Swierkowa 896 72-709 Œwinoujœcie
1616,Tola,Lulek,kobieta,1993-05-17,ulica Wyszyñskiego 04 47-625 Tarnów
1617,Nela,G³owienka,kobieta,2003-09-05,aleja Czarnieckiego 161 59-534 Piotrków Trybunalski
1618,Aleksander,Kurz,mê¿czyzna,1990-09-29,ulica Rataja 07/02 54-439 Tczew
1619,Cezary,Wac³awiak,mê¿czyzna,2004-04-23,plac D³uga 37 78-369 Bi³goraj
1620,Sebastian,Duras,mê¿czyzna,1986-08-31,al. Turystyczna 87 07-129 Knurów
1621,Jêdrzej,Borysiewicz,mê¿czyzna,1985-06-25,ulica Kasprowicza 791 49-179 Elbl¹g
1622,Piotr,Skolik,mê¿czyzna,1984-06-10,aleja Narcyzowa 527 80-486 Œwiêtoch³owice
1623,Krystian,Deszcz,mê¿czyzna,2003-05-21,ulica Kasprowicza 45 94-759 Wroc³aw
1624,Sandra,Sidorczuk,kobieta,1995-04-23,ul. Konarskiego 62/04 41-688 Suwa³ki
1625,Konstanty,Warzybok,mê¿czyzna,1988-01-30,pl. Rumiankowa 793 72-228 Jastrzêbie-Zdrój
1626,Albert,Ceg³a,mê¿czyzna,1997-11-02,plac Odrzañska 957 77-225 Œroda Wielkopolska
1627,Dawid,Miotke,mê¿czyzna,2002-10-12,al. Rubinowa 70 24-388 Przemyœl
1628,Damian,Szko³a,mê¿czyzna,1993-06-15,ul. Królewska 58 31-282 Gliwice
1629,Patryk,£aciak,mê¿czyzna,2002-01-02,plac Graniczna 249 53-495 Kalisz
1630,Olgierd,Gabryel,mê¿czyzna,1990-02-14,al. Rataja 80/12 52-056 Kalisz
1631,Eryk,Bodych,mê¿czyzna,1999-07-27,ulica Azaliowa 005 35-116 CzeladŸ
1632,Nela,Malara,kobieta,2002-08-23,ulica Wiœlana 52/24 72-486 Nowy Dwór Mazowiecki
1633,Marika,Romañczyk,kobieta,1999-05-10,plac Morska 11 77-626 ¯ory
1634,Melania,Pêciak,kobieta,1992-05-30,ulica Kolejowa 30 71-136 Sopot
1635,Konrad,Kolanek,mê¿czyzna,1994-12-07,ul. Jaworowa 06/86 96-749 Pruszcz Gdañski
1636,Oskar,Seta,mê¿czyzna,1993-12-16,ulica Górnicza 548 49-996 £owicz
1637,Aleks,Herda,mê¿czyzna,2001-09-23,pl. Jod³owa 01/04 21-742 P³oñsk
1638,Daniel,Sadoch,mê¿czyzna,1991-03-08,ulica Olchowa 221 58-861 Elbl¹g
1639,Natan,Œli¿,mê¿czyzna,1994-06-19,aleja Mieszka I 83/72 37-260 Sieradz
1640,Sebastian,Berendt,mê¿czyzna,2005-07-03,ulica S³owackiego 59/98 44-802 £om¿a
1641,Artur,Namys³o,mê¿czyzna,2004-03-12,aleja Stolarska 97/34 55-642 Turek
1642,Antoni,Dyszkiewicz,mê¿czyzna,1986-05-30,plac ¯abia 31/57 04-573 Be³chatów
1643,Adrian,Lenda,mê¿czyzna,1985-03-11,plac Na³kowskiej 142 67-003 Myszków
1644,Robert,Wylega³a,mê¿czyzna,1988-03-23,al. Widok 64/77 90-869 Skierniewice
1645,Pawe³,Byra,mê¿czyzna,1990-05-07,ulica Orzeszkowej 24/89 33-378 P³oñsk
1646,Witold,Milcarz,mê¿czyzna,1984-05-24,al. G³ogowa 22 37-528 Wieluñ
1647,Anastazja,Bieszke,kobieta,1998-01-18,plac Magnoliowa 348 61-720 Bytom
1648,Albert,Kielczyk,mê¿czyzna,2000-12-06,ul. Przemys³owa 35 71-890 Œrem
1649,Aniela,Kolanek,kobieta,2004-08-23,aleja ¯abia 082 35-207 Pruszcz Gdañski
1650,Alan,NiedŸwiadek,mê¿czyzna,1985-11-18,aleja Willowa 16 97-134 Miñsk Mazowiecki
1651,Maksymilian,Drost,mê¿czyzna,1990-02-11,ul. Górska 96 53-495 Czechowice-Dziedzice
1652,Pawe³,Kaluga,mê¿czyzna,1998-10-19,al. Wspólna 68/14 20-566 Czerwionka-Leszczyny
1653,Julian,Kopij,mê¿czyzna,2004-12-12,pl. Armii Krajowej 843 25-469 Œwidnik
1654,Tadeusz,Lazarek,mê¿czyzna,1997-10-16,pl. Miodowa 81/53 45-618 ¯ywiec
1655,Adrianna,¯ach,kobieta,1984-05-10,ulica Daleka 58/69 82-100 Piaseczno
1656,Sara,Lewicz,kobieta,2002-06-03,ul. ¯wirowa 789 01-707 Œwiebodzice
1657,Igor,Parada,mê¿czyzna,2004-07-08,pl. Poznañska 85/97 62-924 Oœwiêcim
1658,Stefan,Cieplucha,mê¿czyzna,1988-08-11,aleja Piastowska 48 77-167 Piaseczno
1659,Marika,Ragan,kobieta,1993-03-02,ul. Sienkiewicza 458 54-055 Radomsko
1660,Adrianna,Filas,kobieta,2003-10-22,plac B³êkitna 42 13-758 Kalisz
1661,Gabriel,Jarmu¿,mê¿czyzna,1990-08-31,aleja Robotnicza 50 28-443 Miko³ów
1662,Witold,Kuœwik,mê¿czyzna,1997-11-27,plac Wysoka 776 11-056 Piaseczno
1663,Rafa³,Sprycha,mê¿czyzna,2005-03-01,ulica Traugutta 147 26-491 Brodnica
1664,Sonia,Siewert,kobieta,1993-03-26,al. Wojciecha 14/53 65-003 Koszalin
1665,Gustaw,Mas³oñ,mê¿czyzna,1988-02-09,plac Wiœniowa 92/59 04-327 Opole
1666,Bruno,Oczko,mê¿czyzna,1989-07-30,aleja Kopernika 402 41-252 ¯ary
1667,Alan,Kramer,mê¿czyzna,1989-09-02,ulica Dobra 165 21-242 Koœcierzyna
1668,Oliwier,Szeja,mê¿czyzna,1992-02-02,pl. Bankowa 15/29 94-135 Mielec
1669,Witold,Majdan,mê¿czyzna,1993-04-11,plac Pi³sudskiego 13/38 85-180 Grodzisk Mazowiecki
1670,Malwina,Minta,kobieta,1991-10-01,ulica Sawickiej 08 66-370 Gliwice
1671,Maciej,Patyna,mê¿czyzna,1985-12-07,al. Torowa 098 98-380 Jastrzêbie-Zdrój
1672,£ukasz,Szczot,mê¿czyzna,1996-03-22,pl. S³owicza 24 23-178 Kluczbork
1673,Grzegorz,Goral,mê¿czyzna,1997-07-24,ulica Sportowa 45 46-701 Pruszcz Gdañski
1674,Nela,Wo³czyk,kobieta,1995-04-01,plac Promienna 60/74 52-858 Otwock
1675,Kazimierz,Pysz,mê¿czyzna,1996-04-13,al. Szczêœliwa 43 52-452 Skar¿ysko-Kamienna
1676,Jan,Roter,mê¿czyzna,1983-08-06,ulica Strzelecka 667 18-147 Œroda Wielkopolska
1677,Olaf,Skierka,mê¿czyzna,1985-09-22,aleja Klonowa 117 38-712 Zgierz
1678,Adrian,Kiepas,mê¿czyzna,1985-03-24,al. Wiœniowa 612 70-619 Tychy
1679,Wojciech,Elwart,mê¿czyzna,1987-09-28,plac Brzechwy 06/93 99-705 Piekary Œl¹skie
1680,Mi³osz,Sutor,mê¿czyzna,1993-11-27,plac Sucharskiego 051 87-243 Kêtrzyn
1681,Marcelina,Kaluga,kobieta,1987-09-03,aleja Krucza 88/24 54-148 Dzier¿oniów
1682,Kalina,Stryjek,kobieta,1989-09-28,aleja Radosna 76/01 02-346 Sanok
1683,Kamila,Miroñczuk,kobieta,2002-08-04,aleja Gajowa 04/48 88-083 M³awa
1684,Dagmara,Batóg,kobieta,1988-08-06,pl. Orla 86/32 99-114 Pruszcz Gdañski
1685,Sebastian,Œlimak,mê¿czyzna,1993-05-25,ulica M³ynarska 40 91-322 Ostrów Wielkopolski
1686,Julianna,Durczok,kobieta,1987-08-05,aleja D¹browskiego 591 85-741 Miñsk Mazowiecki
1687,Iwo,Pachowicz,mê¿czyzna,1983-01-31,plac Koralowa 790 91-593 Reda
1688,Jacek,Sanetra,mê¿czyzna,2001-09-23,ul. Bukowa 54/97 93-074 Œwinoujœcie
1689,Marek,Kempny,mê¿czyzna,1997-05-25,ulica Akacjowa 90 76-581 Ostrów Wielkopolski
1690,Agnieszka,Heller,kobieta,1995-02-23,aleja Dobra 959 10-689 Rumia
1691,Jacek,S³owiak,mê¿czyzna,1994-11-28,plac Harcerska 28 63-733 Przemyœl
1692,Ada,Humeniuk,kobieta,1996-10-15,plac Browarna 854 45-956 Bielsk Podlaski
1693,Sandra,Jamro¿y,kobieta,1991-02-08,ulica Fredry 23 31-783 Kluczbork
1694,Gaja,Drewniok,kobieta,1998-01-26,plac Wierzbowa 642 22-073 S³upsk
1695,Bartek,£okaj,mê¿czyzna,2000-12-04,pl. Hutnicza 06/08 24-918 Jas³o
1696,Adrianna,Krochmal,kobieta,1993-01-15,ul. Nadbrze¿na 535 36-871 Oœwiêcim
1697,Ewelina,Tryka,kobieta,1984-04-02,plac Orzeszkowej 28 10-241 Jaros³aw
1698,Marcin,Litwiñczuk,mê¿czyzna,2001-10-23,ulica Krasiñskiego 68 54-125 Nysa
1699,Tobiasz,Kuban,mê¿czyzna,1996-08-26,ul. Niepodleg³oœci 80/40 24-720 Wo³omin
1700,Tymoteusz,GuŸniczak,mê¿czyzna,1993-12-25,ulica Stefana Batorego 824 33-059 Wa³cz
1701,Oskar,Podpora,mê¿czyzna,1983-01-16,ulica Tartaczna 26/28 28-319 Brzeg
1702,Agnieszka,Tadla,kobieta,2000-02-29,plac Kreta 646 33-045 Bytom
1703,Fryderyk,G³owiak,mê¿czyzna,1991-04-07,aleja Dzia³kowa 60/45 65-677 Zgierz
1704,Marika,Kudlak,kobieta,1996-04-17,al. Boles³awa Krzywoustego 13 95-502 Chorzów
1705,Ewa,Basista,kobieta,1994-11-29,ul. Konwaliowa 82/21 10-521 Pruszcz Gdañski
1706,Kazimierz,Karwan,mê¿czyzna,1983-12-26,aleja Królewska 283 64-830 Oœwiêcim
1707,Nicole,Sadlik,mê¿czyzna,1994-03-17,ulica Wiosenna 866 22-137 Zgorzelec
1708,Krystyna,Kujda,kobieta,2005-11-27,plac Wczasowa 39/18 77-426 Pruszków
1709,Ada,Kabza,kobieta,1999-11-22,ul. Podwale 89 75-309 Grodzisk Mazowiecki
1710,Artur,Seweryniak,mê¿czyzna,1995-09-02,al. Truskawkowa 309 71-437 Poznañ
1711,Norbert,Rubaj,mê¿czyzna,1985-03-30,al. Lelewela 642 72-642 Sosnowiec
1712,Krystyna,Strzoda,kobieta,2002-06-03,ulica Wojciecha 53/86 68-350 Krosno
1713,Marcin,Szyda,mê¿czyzna,1999-03-18,al. Czarnieckiego 13/29 56-311 Gdañsk
1714,Artur,Berendt,mê¿czyzna,1998-10-10,pl. Ma³a 23 09-381 Œwiebodzice
1715,Kaja,Bylina,kobieta,2001-06-12,al. Cicha 826 63-703 Chrzanów
1716,Miko³aj,Meler,mê¿czyzna,2000-04-16,aleja W³adys³awa Jagie³³y 41/94 74-716 Wo³omin
1717,Ignacy,Januszewicz,mê¿czyzna,1984-09-29,ul. Boles³awa Krzywoustego 08/24 07-250 Jawor
1718,Oliwier,Królczyk,mê¿czyzna,1989-05-25,aleja Kosynierów 04 02-212 Bêdzin
1719,Bianka,Stochmal,kobieta,1991-08-01,ulica Witosa 897 35-011 CzeladŸ
1720,Franciszek,Troka,mê¿czyzna,2005-03-07,ul. G³ogowa 63 54-327 Gdañsk
1721,Ignacy,Szulczyk,mê¿czyzna,1995-03-25,ul. Lisia 781 86-113 Ruda Œl¹ska
1722,Liwia,Beker,kobieta,1996-11-14,ulica Che³moñskiego 241 43-649 Katowice
1723,Arkadiusz,Dub,mê¿czyzna,1983-07-09,ul. Skargi 620 50-662 Starogard Gdañski
1724,Rados³aw,Siwka,mê¿czyzna,1989-09-20,ulica Mieszka I 68/36 09-064 Œroda Wielkopolska
1725,Ida,Zimoñ,kobieta,1988-02-16,plac Glówna 97/26 10-685 Nowa Sól
1726,Tobiasz,Bacia,mê¿czyzna,1998-08-01,pl. Wyspiañskiego 48 11-265 Dzier¿oniów
1727,Tobiasz,Kar³owicz,mê¿czyzna,2000-09-07,pl. Azaliowa 65 91-617 Chrzanów
1728,Lidia,Pasiak,kobieta,2001-06-30,ulica Osiedlowa 56/89 57-542 Police
1729,Jeremi,Grotek,mê¿czyzna,1985-05-20,plac Kielecka 33/46 86-855 Sopot
1730,Gaja,Kastelik,kobieta,1987-07-02,aleja Prusa 932 30-240 Kluczbork
1731,Sandra,Serwach,kobieta,2005-02-03,aleja Morelowa 33 65-141 Piekary Œl¹skie
1732,Marcel,Budzeñ,mê¿czyzna,1983-09-13,aleja Podwale 66/67 33-256 Rzeszów
1733,Janina,Zadora,kobieta,1986-06-10,ul. Urocza 155 96-253 Bartoszyce
1734,Urszula,Kawala,kobieta,1997-09-09,ulica Majowa 798 23-390 Sosnowiec
1735,Oliwier,Walkusz,mê¿czyzna,2002-02-09,ul. Osiedlowa 45/55 04-766 Kraków
1736,Olaf,Gabryszak,mê¿czyzna,2005-02-09,al. Ga³czynskiego 65/54 08-218 £owicz
1737,Maksymilian,£okaj,mê¿czyzna,1994-02-15,pl. Orzeszkowej 65 82-338 Koœcian
1738,Daniel,Durczok,mê¿czyzna,1985-02-06,ulica Skrajna 06/09 30-292 Skawina
